Время;Канал A
(с);(В)

-2,18854997;-0,00094607
-2,18849997;-0,00094607
-2,18844997;0,00799585
-2,18839997;0,00799585
-2,18834997;-0,00094607
-2,18829997;-0,00094607
-2,18824997;-0,00094607
-2,18819997;0,00799585
-2,18814997;0,00799585
-2,18809997;-0,00094607
-2,18804997;-0,00094607
-2,18799997;-0,00094607
-2,18794997;0,00799585
-2,18789997;0,00799585
-2,18784997;-0,00094607
-2,18779997;-0,00094607
-2,18774997;-0,00094607
-2,18769997;-0,00094607
-2,18764997;-0,00094607
-2,18759997;0,01693777
-2,18754997;-0,00094607
-2,18749997;0,00799585
-2,18744997;-0,00094607
-2,18739997;-0,00094607
-2,18734997;0,00799585
-2,18729997;-0,00094607
-2,18724997;-0,00094607
-2,18719997;0,00799585
-2,18714997;-0,00094607
-2,18709997;-0,00094607
-2,18704997;-0,00094607
-2,18699997;-0,00094607
-2,18694997;-0,00094607
-2,18689997;0,00799585
-2,18684997;0,00799585
-2,18679997;-0,00094607
-2,18674997;-0,00094607
-2,18669997;-0,00094607
-2,18664997;-0,00094607
-2,18659997;0,00799585
-2,18654997;0,00799585
-2,18649997;-0,00094607
-2,18644997;-0,00094607
-2,18639997;-0,00094607
-2,18634997;-0,00094607
-2,18629997;-0,00094607
-2,18624997;0,00799585
-2,18619997;-0,00094607
-2,18614997;0,00799585
-2,18609997;0,00799585
-2,18604997;-0,00094607
-2,18599997;-0,00094607
-2,18594997;-0,00094607
-2,18589997;0,00799585
-2,18584997;0,00799585
-2,18579997;-0,00094607
-2,18574997;0,00799585
-2,18569997;-0,00094607
-2,18564997;-0,00094607
-2,18559997;-0,00094607
-2,18554997;-0,00094607
-2,18549997;-0,00094607
-2,18544997;-0,00094607
-2,18539997;-0,00094607
-2,18534997;0,00799585
-2,18529997;-0,00094607
-2,18524997;0,00799585
-2,18519997;-0,00094607
-2,18514997;-0,00094607
-2,18509997;-0,00094607
-2,18504997;0,00799585
-2,18499997;0,00799585
-2,18494997;0,00799585
-2,18489997;-0,00094607
-2,18484997;-0,00094607
-2,18479997;-0,00094607
-2,18474997;0,00799585
-2,18469997;-0,00094607
-2,18464997;0,00799585
-2,18459997;-0,00094607
-2,18454997;-0,00094607
-2,18449997;-0,00094607
-2,18444997;-0,00094607
-2,18439997;0,00799585
-2,18434997;0,00799585
-2,18429997;-0,00094607
-2,18424997;-0,00094607
-2,18419997;-0,00094607
-2,18414997;-0,00094607
-2,18409997;0,00799585
-2,18404997;0,00799585
-2,18399997;-0,00094607
-2,18394997;-0,00094607
-2,18389997;-0,00094607
-2,18384997;-0,00094607
-2,18379997;-0,00094607
-2,18374997;0,00799585
-2,18369997;-0,00094607
-2,18364997;0,00799585
-2,18359997;-0,00094607
-2,18354997;-0,00094607
-2,18349997;-0,00094607
-2,18344997;0,00799585
-2,18339997;-0,00094607
-2,18334997;-0,00094607
-2,18329997;-0,00094607
-2,18324997;-0,00094607
-2,18319997;0,00799585
-2,18314997;-0,00094607
-2,18309997;-0,00094607
-2,18304997;-0,00094607
-2,18299997;0,00799585
-2,18294997;0,00799585
-2,18289997;0,00799585
-2,18284997;0,00799585
-2,18279997;-0,00094607
-2,18274997;-0,00094607
-2,18269997;-0,00094607
-2,18264997;-0,00094607
-2,18259997;0,00799585
-2,18254997;-0,00094607
-2,18249997;-0,00094607
-2,18244997;0,00799585
-2,18239997;-0,00094607
-2,18234997;-0,00094607
-2,18229997;-0,00094607
-2,18224997;-0,00094607
-2,18219997;-0,00094607
-2,18214997;0,00799585
-2,18209997;-0,00094607
-2,18204997;-0,00094607
-2,18199997;-0,00094607
-2,18194997;0,00799585
-2,18189997;0,00799585
-2,18184997;-0,00094607
-2,18179997;-0,00094607
-2,18174997;-0,00094607
-2,18169997;-0,00094607
-2,18164997;-0,00094607
-2,18159997;-0,00094607
-2,18154997;-0,00094607
-2,18149997;-0,00094607
-2,18144997;-0,00094607
-2,18139997;0,00799585
-2,18134997;0,00799585
-2,18129997;0,00799585
-2,18124997;-0,00094607
-2,18119997;-0,00094607
-2,18114997;0,00799585
-2,18109997;0,00799585
-2,18104997;-0,00094607
-2,18099997;-0,00094607
-2,18094997;-0,00094607
-2,18089997;-0,00094607
-2,18084997;-0,00094607
-2,18079997;-0,00094607
-2,18074997;-0,00094607
-2,18069997;0,00799585
-2,18064997;0,00799585
-2,18059997;0,00799585
-2,18054997;0,00799585
-2,18049997;0,00799585
-2,18044997;-0,00094607
-2,18039997;-0,00094607
-2,18034997;-0,00094607
-2,18029997;-0,00094607
-2,18024997;-0,00094607
-2,18019997;0,00799585
-2,18014997;0,00799585
-2,18009997;0,00799585
-2,18004997;0,00799585
-2,17999997;0,00799585
-2,17994997;0,00799585
-2,17989997;0,00799585
-2,17984997;0,00799585
-2,17979997;-0,00094607
-2,17974997;-0,00094607
-2,17969997;0,00799585
-2,17964997;0,00799585
-2,17959997;-0,00094607
-2,17954997;0,00799585
-2,17949997;0,00799585
-2,17944997;0,00799585
-2,17939997;0,00799585
-2,17934997;0,00799585
-2,17929997;0,00799585
-2,17924997;0,00799585
-2,17919997;0,00799585
-2,17914997;0,00799585
-2,17909997;0,00799585
-2,17904997;0,00799585
-2,17899997;-0,00094607
-2,17894997;0,00799585
-2,17889997;0,00799585
-2,17884997;0,00799585
-2,17879997;0,00799585
-2,17874997;0,00799585
-2,17869997;-0,00094607
-2,17864997;-0,00094607
-2,17859997;-0,00094607
-2,17854997;-0,00094607
-2,17849997;-0,00094607
-2,17844997;-0,00094607
-2,17839997;-0,00094607
-2,17834997;-0,00094607
-2,17829997;0,00799585
-2,17824997;-0,00094607
-2,17819997;-0,00094607
-2,17814997;0,00799585
-2,17809997;-0,00094607
-2,17804997;-0,00094607
-2,17799997;-0,00094607
-2,17794997;-0,00094607
-2,17789997;0,00799585
-2,17784997;-0,00094607
-2,17779997;0,00799585
-2,17774997;0,00799585
-2,17769997;-0,00094607
-2,17764997;-0,00094607
-2,17759997;-0,00094607
-2,17754997;-0,00094607
-2,17749997;-0,00094607
-2,17744997;-0,00094607
-2,17739997;-0,00094607
-2,17734997;-0,00094607
-2,17729997;-0,00094607
-2,17724997;0,00799585
-2,17719997;-0,00094607
-2,17714997;-0,00094607
-2,17709997;0,00799585
-2,17704997;0,00799585
-2,17699997;-0,00094607
-2,17694997;-0,00094607
-2,17689997;-0,00094607
-2,17684997;-0,00094607
-2,17679997;-0,00094607
-2,17674997;0,00799585
-2,17669997;0,00799585
-2,17664997;-0,00094607
-2,17659997;0,00799585
-2,17654997;-0,00094607
-2,17649997;-0,00094607
-2,17644997;-0,00094607
-2,17639997;0,00799585
-2,17634997;0,00799585
-2,17629997;0,00799585
-2,17624997;0,00799585
-2,17619997;-0,00094607
-2,17614997;0,00799585
-2,17609997;0,00799585
-2,17604997;-0,00094607
-2,17599997;-0,00094607
-2,17594997;-0,00094607
-2,17589997;-0,00094607
-2,17584997;-0,00094607
-2,17579997;-0,00094607
-2,17574997;0,00799585
-2,17569997;-0,00094607
-2,17564997;-0,00094607
-2,17559997;0,00799585
-2,17554997;0,00799585
-2,17549997;-0,00094607
-2,17544997;0,00799585
-2,17539997;-0,00094607
-2,17534997;-0,00094607
-2,17529997;0,00799585
-2,17524997;-0,00094607
-2,17519997;-0,00094607
-2,17514997;-0,00094607
-2,17509997;-0,00094607
-2,17504997;0,00799585
-2,17499997;0,00799585
-2,17494997;0,00799585
-2,17489997;-0,00094607
-2,17484997;-0,00094607
-2,17479997;0,00799585
-2,17474997;0,00799585
-2,17469997;-0,00094607
-2,17464997;-0,00094607
-2,17459997;-0,00094607
-2,17454997;-0,00094607
-2,17449997;-0,00094607
-2,17444997;-0,00094607
-2,17439997;0,00799585
-2,17434997;-0,00094607
-2,17429997;-0,00094607
-2,17424997;-0,00094607
-2,17419997;-0,00094607
-2,17414997;0,00799585
-2,17409997;-0,00094607
-2,17404997;-0,00094607
-2,17399997;0,00799585
-2,17394997;0,00799585
-2,17389997;0,00799585
-2,17384997;0,00799585
-2,17379997;-0,00094607
-2,17374997;-0,00094607
-2,17369997;0,00799585
-2,17364997;-0,00094607
-2,17359997;-0,00094607
-2,17354997;-0,00094607
-2,17349997;-0,00094607
-2,17344997;-0,00094607
-2,17339997;-0,00094607
-2,17334997;-0,00094607
-2,17329997;-0,00094607
-2,17324997;-0,00094607
-2,17319997;-0,00094607
-2,17314997;0,00799585
-2,17309997;0,00799585
-2,17304997;-0,00094607
-2,17299997;-0,00094607
-2,17294997;0,00799585
-2,17289997;-0,00094607
-2,17284997;-0,00094607
-2,17279997;0,00799585
-2,17274997;0,00799585
-2,17269997;-0,00094607
-2,17264997;-0,00094607
-2,17259997;0,00799585
-2,17254997;0,00799585
-2,17249997;0,00799585
-2,17244997;-0,00094607
-2,17239997;-0,00094607
-2,17234997;0,00799585
-2,17229997;-0,00094607
-2,17224997;-0,00094607
-2,17219997;-0,00094607
-2,17214997;-0,00094607
-2,17209997;-0,00094607
-2,17204997;-0,00094607
-2,17199997;-0,00094607
-2,17194997;-0,00094607
-2,17189997;-0,00094607
-2,17184997;0,00799585
-2,17179997;-0,00094607
-2,17174997;-0,00094607
-2,17169997;0,00799585
-2,17164997;-0,00094607
-2,17159997;0,00799585
-2,17154997;0,00799585
-2,17149997;0,00799585
-2,17144997;-0,00094607
-2,17139997;0,00799585
-2,17134997;-0,00094607
-2,17129997;-0,00094607
-2,17124997;-0,00094607
-2,17119997;-0,00094607
-2,17114997;-0,00094607
-2,17109997;-0,00094607
-2,17104997;-0,00094607
-2,17099997;-0,00094607
-2,17094997;-0,00094607
-2,17089997;-0,00094607
-2,17084997;-0,00094607
-2,17079997;-0,00094607
-2,17074997;-0,00094607
-2,17069997;0,00799585
-2,17064997;0,00799585
-2,17059997;-0,00094607
-2,17054997;0,00799585
-2,17049997;-0,00094607
